f0_mean_hz,f0_std_hz,f0_range_st,f0_mean_st,voiced_ratio,vibrato_index,clean_name,singer_id,technique,group,wav_path,tg_path
199.73638670303723,23.93290705371612,11.56684412191982,-13.796836883279513,0.8636363636363636,7.460850183821616,EN-Tenor-1__mixed_voice__control__0010,EN-Tenor-1,mixed_voice,control,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love on the Brain/Control_Group/0010.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Love on the Brain/Control_Group/0010.TextGrid
375.4176738401926,48.676650306752364,10.66678178173047,-2.8913096711057706,0.8207762557077626,12.003024738361296,EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,/content/atlas/English_raw/English/EN-Tenor-1/Vibrato/Enchanted/Control_Group/0007.wav,/content/atlas/English_raw/English/EN-Tenor-1/Vibrato/Enchanted/Control_Group/0007.TextGrid
281.6354595963425,52.64938469407413,10.700638796842757,-8.029092262857436,0.8258503401360544,6.053883723530523,EN-Alto-1__vibrato__control__0004,EN-Alto-1,vibrato,control,/content/atlas/English_raw/English/EN-Alto-1/Vibrato/edelweiss/Control_Group/0004.wav,/content/atlas/English_raw/English/EN-Alto-1/Vibrato/edelweiss/Control_Group/0004.TextGrid
325.98151993504223,30.008792467291354,10.781445277337777,-5.267357245551237,0.8160919540229885,9.878176434926463,EN-Alto-1__pharyngeal__control__0006,EN-Alto-1,pharyngeal,control,/content/atlas/English_raw/English/EN-Alto-1/Pharyngeal/love stroy/Control_Group/0006.wav,/content/atlas/English_raw/English/EN-Alto-1/Pharyngeal/love stroy/Control_Group/0006.TextGrid
312.3193080410975,74.31106379254749,12.697728617846876,-6.456910890896049,0.9026275115919629,7.616211061193001,EN-Tenor-1__pharyngeal__control__0005,EN-Tenor-1,pharyngeal,control,/content/atlas/English_raw/English/EN-Tenor-1/Pharyngeal/Always Remember Us This Way/Control_Group/0005.wav,/content/atlas/English_raw/English/EN-Tenor-1/Pharyngeal/Always Remember Us This Way/Control_Group/0005.TextGrid
300.4504431328338,51.29585914248792,21.601657059027875,-6.856466535740532,0.6445211389128559,8.454459890396066,EN-Alto-1__mixed_voice__control__0001,EN-Alto-1,mixed_voice,control,/content/atlas/English_raw/English/EN-Alto-1/Mixed_Voice_and_Falsetto/Arriety's song/Control_Group/0001.wav,/content/atlas/English_raw/English/EN-Alto-1/Mixed_Voice_and_Falsetto/Arriety's song/Control_Group/0001.TextGrid
264.9214176485937,39.59923807678829,11.524104336997166,-8.989597220484479,0.8214285714285714,7.793567196454111,EN-Tenor-1__mixed_voice__control__0005,EN-Tenor-1,mixed_voice,control,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Wildest Dreams/Control_Group/0005.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Wildest Dreams/Control_Group/0005.TextGrid
312.3705727264389,37.941613989715684,11.168403675990218,-6.0546213607555135,0.8036363636363636,13.31588164437404,EN-Tenor-1__vibrato__control__0002,EN-Tenor-1,vibrato,control,/content/atlas/English_raw/English/EN-Tenor-1/Vibrato/You Belong With Me/Control_Group/0002.wav,/content/atlas/English_raw/English/EN-Tenor-1/Vibrato/You Belong With Me/Control_Group/0002.TextGrid
261.6032987831603,45.07266717578673,41.26726987212738,-9.335824514847426,0.5251509054325956,7.596855813682152,EN-Alto-2__mixed_voice__control__0004,EN-Alto-2,mixed_voice,control,/content/atlas/English_raw/English/EN-Alto-2/Mixed_Voice_and_Falsetto/City Of Stars/Control_Group/0004.wav,/content/atlas/English_raw/English/EN-Alto-2/Mixed_Voice_and_Falsetto/City Of Stars/Control_Group/0004.TextGrid
296.52940154545905,71.33855907934954,12.627916905103916,-7.340768913702858,0.8817204301075269,5.794152981562525,EN-Tenor-1__glissando__control__0005,EN-Tenor-1,glissando,control,/content/atlas/English_raw/English/EN-Tenor-1/Glissando/I Knew You Were Trouble/Control_Group/0005.wav,/content/atlas/English_raw/English/EN-Tenor-1/Glissando/I Knew You Were Trouble/Control_Group/0005.TextGrid
431.0267628564272,82.99566027192796,13.541749302601605,-0.6693571061276505,0.9123134328358209,6.318309984746463,EN-Tenor-1__vibrato__control__0007,EN-Tenor-1,vibrato,control,/content/atlas/English_raw/English/EN-Tenor-1/Vibrato/What Was I Made For∩╝ƒ/Control_Group/0007.wav,/content/atlas/English_raw/English/EN-Tenor-1/Vibrato/What Was I Made For∩╝ƒ/Control_Group/0007.TextGrid
283.8003360419404,47.21332600177066,12.76226623408222,-7.830711208167845,0.815515610217597,7.021206691899499,EN-Alto-2__breathy__control__0001,EN-Alto-2,breathy,control,/content/atlas/English_raw/English/EN-Alto-2/Breathy/Yesterday Once More/Control_Group/0001.wav,/content/atlas/English_raw/English/EN-Alto-2/Breathy/Yesterday Once More/Control_Group/0001.TextGrid
183.84630845937963,16.935620691144184,7.5352198142280145,-15.178142895855178,0.9128256513026052,3.265265131674265,EN-Tenor-1__mixed_voice__control__0011,EN-Tenor-1,mixed_voice,control,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Firework/Control_Group/0011.wav,/content/atlas/English_raw/English/EN-Tenor-1/Mixed_Voice_and_Falsetto/Firework/Control_Group/0011.TextGrid
306.15314640649916,21.318558704482406,5.3334161523382075,-6.322299355747027,0.8930635838150289,3.262077760327102,EN-Tenor-1__glissando__control__0010,EN-Tenor-1,glissando,control,/content/atlas/English_raw/English/EN-Tenor-1/Glissando/What Was I Made For∩╝ƒ/Control_Group/0010.wav,/content/atlas/English_raw/English/EN-Tenor-1/Glissando/What Was I Made For∩╝ƒ/Control_Group/0010.TextGrid
325.0124849326062,50.67186972339979,10.532374454382852,-5.45872646329386,0.8595317725752508,9.502935529986548,EN-Tenor-1__breathy__control__0003,EN-Tenor-1,breathy,control,/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Long Live/Control_Group/0003.wav,/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Long Live/Control_Group/0003.TextGrid
280.60037312800915,36.4271373345894,10.020409133889164,-7.936953004711957,0.8364269141531323,5.792555318189548,EN-Alto-2__breathy__control__0003,EN-Alto-2,breathy,control,/content/atlas/English_raw/English/EN-Alto-2/Breathy/Yesterday Once More/Control_Group/0003.wav,/content/atlas/English_raw/English/EN-Alto-2/Breathy/Yesterday Once More/Control_Group/0003.TextGrid
201.13952438376168,41.506317137360476,16.160775443282862,-13.923891328081961,0.8183361629881154,5.8570903123787845,EN-Tenor-1__pharyngeal__control__0007,EN-Tenor-1,pharyngeal,control,/content/atlas/English_raw/English/EN-Tenor-1/Pharyngeal/Someone Like You/Control_Group/0007.wav,/content/atlas/English_raw/English/EN-Tenor-1/Pharyngeal/Someone Like You/Control_Group/0007.TextGrid
