singer_id,technique,atlas_group,group_folder,song,wav_path,gt_lyrics,gt_lyrics_clean,asr_hypothesis,asr_hypothesis_raw,transcription_time_s,model
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0010.wav,we shall always be as one if you love me for me,we shall always be as one if you love me for me,"We shall always be as one, if you love me for me.","We shall always be as one, if you love me for me.",1.136667251586914,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0004.wav,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'll be sure if I knew that you loved me for me.,I'll be sure if I knew that you loved me for me.,0.9279086589813232,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0005.wav,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,Could I be the one you're seeking? Will I be the one you choose?,1.066615104675293,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0011.wav,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise that we'll be?,Who can say where we'll go? Who can promise that we'll be?,1.0363786220550537,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0007.wav,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,"What you see may be deceiving, truth lies underneath the skin.","What you see may be deceiving, truth lies underneath the skin.",0.936009407043457,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0012.wav,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I stay by your side if you love me for me.,But I stay by your side if you love me for me.,0.8784635066986084,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0006.wav,can you tell my heart is speaking my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is speaking? My eyes will give you clues.,Can you tell my heart is speaking? My eyes will give you clues.,0.9924924373626709,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0002.wav,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you loved me for me,I'll be glad if you loved me for me,0.7621097564697266,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0003.wav,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,"You say your love is true, and I hope that it will be.","You say your love is true, and I hope that it will be.",1.0205998420715332,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0001.wav,you're a gentle one said she in my heart,youre a gentle one said she in my heart,You are gentle one said she In my heart,You are gentle one said she In my heart,0.8028976917266846,large-v3
