singer_id,technique,atlas_group,group_folder,song,gt_lyrics,gt_lyrics_clean,asr_hypothesis,wer,per,wer_S,wer_D,wer_I,wer_n_ref,model
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,we shall always be as one if you love me for me,we shall always be as one if you love me for me,"We shall always be as one, if you love me for me.",0.0,0.0,0,0,0,12,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'll be sure if I knew that you loved me for me.,0.08333333333333333,0.03571428571428571,1,0,0,12,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,0.0,0.0,0,0,0,14,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise that we'll be?,0.16666666666666666,0.08823529411764706,2,0,0,12,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,"What you see may be deceiving, truth lies underneath the skin.",0.0,0.0,0,0,0,11,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I stay by your side if you love me for me.,0.08333333333333333,0.06666666666666667,1,0,0,12,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,can you tell my heart is speaking my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is speaking? My eyes will give you clues.,0.0,0.0,0,0,0,13,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you loved me for me,0.1111111111111111,0.043478260869565216,1,0,0,9,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,"You say your love is true, and I hope that it will be.",0.0,0.0,0,0,0,13,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,you're a gentle one said she in my heart,youre a gentle one said she in my heart,You are gentle one said she In my heart,0.2222222222222222,0.11538461538461539,2,0,0,9,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,once a lass met a lad,once a lass met a lad,Once a last manor lad,0.5,0.26666666666666666,2,1,0,6,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,hope will blossom by believing the heart that lies within,hope will blossom by believing the heart that lies within,Hope will blossom by believing The heart that lies within,0.0,0.0,0,0,0,10,large-v3
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,<AP> i'll be yours together,ill be yours together,I'll be yours together.,0.0,0.0,0,0,0,4,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,we shall always be as one if you love me for me,we shall always be as one if you love me for me,"We shall always be as one, if you love me for me.",0.0,0.0,0,0,0,12,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'd be sure if I knew that you loved me for me.,0.0,0.0,0,0,0,12,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,0.0,0.0,0,0,0,14,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,who can say where we'll go who can promise what we'll be,0.08333333333333333,0.029411764705882353,1,0,0,12,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,"What you see may be deceiving, truth lies underneath the skin.",0.0,0.0,0,0,0,11,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I'll stay by your side if you love me for me.,0.0,0.0,0,0,0,12,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,can you tell my heart is speaking <AP> my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is speaking? My eyes won't leave you clue.,0.23076923076923078,0.15789473684210525,3,0,0,13,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you love me for me.,0.2222222222222222,0.08695652173913043,2,0,0,9,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,"You say your love is true, and I hope that it will be.",0.0,0.0,0,0,0,13,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,you're a gentle one said she in my heart,youre a gentle one said she in my heart,"You were gentle once, said she, in my heart.",0.3333333333333333,0.15384615384615385,3,0,0,9,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,once a lass met a lad,once a lass met a lad,"Once a last man, a lad",0.3333333333333333,0.2,2,0,0,6,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,hope will blossom by believing <AP> the heart will lies within,hope will blossom by believing the heart will lies within,Hope will blossom by believing The heart will rise within,0.1,0.02631578947368421,1,0,0,10,large-v3
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,<AP> i'll be yours together,ill be yours together,I'll be yours together,0.0,0.0,0,0,0,4,large-v3
EN-Alto-1,vibrato,control,Control_Group,edelweiss,blossom of snow may you bloom and grow,blossom of snow may you bloom and grow,"Blossom snow, may you bloom and grow",0.125,0.08,0,1,0,8,large-v3
EN-Alto-1,vibrato,control,Control_Group,edelweiss,bloom and grow forever <AP>,bloom and grow forever,Bloom and grow forever.,0.0,0.0,0,0,0,4,large-v3
EN-Alto-1,vibrato,control,Control_Group,edelweiss,bless my homeland forever,bless my homeland forever,Bless my homeland forever.,0.0,0.0,0,0,0,4,large-v3
EN-Alto-1,vibrato,control,Control_Group,edelweiss,edelweiss <AP> edelweiss,edelweiss edelweiss,"Otherwise, otherwise",1.0,0.8571428571428571,2,0,0,2,large-v3
EN-Alto-1,vibrato,control,Control_Group,edelweiss,small and white <AP> clean and bright,small and white clean and bright,"Small and white, clean and bright.",0.0,0.0,0,0,0,6,large-v3
