singer_id,technique,group_folder,atlas_group,song,wav_path,tg_path,gt_lyrics,has_tg
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0010.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0004.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0005.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0011.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0007.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0013.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0012.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0006.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0002.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0003.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0001.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0000.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0014.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0008.wav,,,False
EN-Alto-1,vibrato,Control_Group,control,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Control_Group/0009.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0010.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0004.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0005.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0011.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0007.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0013.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0012.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0006.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0002.wav,,,False
EN-Alto-1,vibrato,Vibrato_Group,technique,memory,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/memory/Vibrato_Group/0003.wav,,,False
